,Country,"Market, or Index",Suffix,Delay,Data Provider
61,Latvia,Nasdaq OMX Riga,.RG,Real-time,ICE Data Services
62,Lithuania,Nasdaq OMX Vilnius,.VS,Real-time,ICE Data Services
63,Malaysia,Malaysian Stock Exchange,.KL,15 min,ICE Data Services
64,Mexico,Mexico Stock Exchange (BMV),.MX,20 min,ICE Data Services
65,Netherlands,Euronext Amsterdam,.AS,15 min,ICE Data Services
66,New Zealand,New Zealand Stock Exchange (NZX),.NZ,20 min,ICE Data Services
67,Norway,Oslo Stock Exchange,.OL,15 min,ICE Data Services
68,Philippines,Philippine Stock Exchange Indices,.PS,15 min,ICE Data Services
69,Poland,Warsaw Stock Exchange,.WA,15 min,ICE Data Services
70,Portugal,Euronext Lisbon,.LS,15 min,ICE Data Services
71,Qatar,Qatar Stock Exchange,.QA,15 min,ICE Data Services
72,Singapore,Singapore Stock Exchange (SGX),.SI,20 min,ICE Data Services
73,South Africa,Johannesburg Stock Exchange,.JO,15 min,ICE Data Services
74,South Korea,Korea Stock Exchange,.KS,20 min,ICE Data Services
75,South Korea,KOSDAQ,.KQ,20 min,ICE Data Services
76,Spain,Madrid SE C.A.T.S.,.MC,15 min,ICE Data Services
77,Saudi Arabia,Saudi Stock Exchange (Tadawul),.SAU,15 min,ICE Data Services
78,Sweden,Nasdaq OMX Stockholm,.ST,Real-time,ICE Data Services
79,Switzerland,Swiss Exchange (SIX),.SW,30 min,ICE Data Services
80,Taiwan,Taiwan OTC Exchange,.TWO,20 min,ICE Data Services
81,Taiwan,Taiwan Stock Exchange (TWSE),.TW,20 min,ICE Data Services
82,Thailand,Stock Exchange of Thailand (SET),.BK,15 min,ICE Data Services
83,Turkey,Borsa İstanbul,.IS,15 min,ICE Data Services
84,United Arab Emirates,Dubai Financial Market,.AE,15 min,ICE Data Services
85,United Kingdom,Cboe UK,.XC,Real-time,ICE Data Services
86,United Kingdom,FTSE Indices,,15 min,ICE Data Services
87,United Kingdom,London Stock Exchange,.L,20 min,ICE Data Services
88,United Kingdom,London Stock Exchange,.IL,20 min,ICE Data Services
89,Venezuela,Caracas Stock Exchange,.CR,15 min,ICE Data Services
